title,year_released,rating,category
Yeopgijeogin geunyeo,2001,8,"Comedy, Drama, Romance"
Dogville,2003,8,"Crime, Drama"
Vizontele,2001,8,"Comedy, Drama"
Donnie Darko,2001,8,"Drama, Mystery, Sci-Fi"
Μανόλια,1999,8,Drama
Χορεύοντας στο σκοτάδι,2000,8,"Crime, Drama, Musical"
The Straight Story,1999,8,"Biography, Drama"
Κεντρικός σταθµός,1998,8,Drama
Sling Blade,1996,8,Drama
Μυστικά και ψέματα,1996,8,"Comedy, Drama"
Δεσμοί αίματος,1993,8,"Crime, Drama"
Άρωμα Γυναίκας,1992,8,Drama
JFK: H ιστορία που χαράχτηκε στη μνήμη μας,1991,8,"Drama, History, Thriller"
Χορεύοντας με τους λύκους,1990,8,"Adventure, Drama, Western"
Κάνε το Σωστό,1989,8,"Comedy, Drama"
Ο άνθρωπος της βροχής,1988,8,Drama
Akira,1988,8,"Animation, Action, Drama"
Τα φτερά του έρωτα,1987,8,"Drama, Fantasy, Romance"
"Αντίο, Παιδιά",1987,8,"Drama, War"
Το κάστρο στον ουρανό,1986,8,"Animation, Adventure, Drama"
Η θυσία,1986,8,Drama
Pink Floyd: Το τείχος,1982,8,"Drama, Fantasy, Music"
Γκάντι,1982,8,"Biography, Drama, History"
"Καγκεμούσα, η σκιά του πολεμιστή",1980,8,"Drama, History, War"
"Να είσαι εκεί, κύριε Τσανς",1979,8,"Comedy, Drama"
Όλοι οι άνθρωποι του προέδρου,1976,8,"Biography, Drama, History"
Σκυλίσια μέρα,1975,8,"Biography, Crime, Drama"
Ο Πεταλούδας,1973,8,"Biography, Crime, Drama"
Η Τελευταία Παράσταση,1971,8,"Drama, Romance"
Ο βιολιστής στη στέγη,1971,8,"Drama, Family, Musical"
Ο Κονφορμίστας,1970,8,Drama
Οι Δύο Ληστές,1969,8,"Biography, Crime, Drama"
Το μωρό της Ρόζμαρυ,1968,8,"Drama, Horror"
Ο πρωτάρης,1967,8,"Comedy, Drama, Romance"
Ποιος φοβάται τη Βιρτζίνια Γουλφ;,1966,8,Drama
Η μελωδία της ευτυχίας,1965,8,"Biography, Drama, Family"
Δόκτωρ Ζιβάγκο,1965,8,"Drama, Romance, War"
Για μια χούφτα δολλάρια,1964,8,"Action, Drama, Western"
8½,1963,8,Drama
Ζούσε τη ζωή της,1962,8,Drama
Ο κόσμος είναι δικός μου,1961,8,"Drama, Sport"
Γλυκιά ζωή,1960,8,"Comedy, Drama"
Ρίο Μπράβο,1959,8,"Action, Drama, Western"
Ανατομία ενός εγκλήματος,1959,8,"Crime, Drama, Mystery"
Ο άρχων του τρόμου,1958,8,"Crime, Drama, Film-Noir"
Λυσσασμένη γάτα,1958,8,Drama
Sweet Smell of Success,1957,8,"Drama, Film-Noir"
Το χρήμα της οργής,1956,8,"Crime, Drama, Film-Noir"
Ο Θανατοποινίτης με το Σημάδι,1955,8,"Crime, Drama, Film-Noir"
Πουλημένη από τη μητέρα της,1954,8,Drama
Ο καταδότης του θαλάμου 17,1953,8,"Comedy, Drama, War"
Το Τρένο θα Σφυρίξει Τρεις Φορές,1952,8,"Drama, Thriller, Western"
Λεωφορείον ο Πόθος,1951,8,Drama
Διψασμένος για Ηδονή,1950,8,"Drama, Film-Noir, Mystery"
Ο βρόγχος,1948,8,"Crime, Drama, Mystery"
Αμαρτωλοί και δολοφόνοι,1947,8,"Crime, Drama, Film-Noir"
Υπόθεσις Νοτόριους,1946,8,"Drama, Film-Noir, Romance"
Σύντομη Συνάντηση,1945,8,"Drama, Romance"
Λώρα,1944,8,"Drama, Film-Noir, Mystery"
